NOMBRE_LOCALIDAD,FECHA,Ozono
CHAPINERO,2016-12-31,11.220649312625676
CHAPINERO,2017-01-31,10.319499669731476
CHAPINERO,2017-02-28,13.260995349015898
CHAPINERO,2017-03-31,5.85842209753379
CHAPINERO,2017-04-30,11.064720156323158
CHAPINERO,2017-05-31,6.241200544410464
CHAPINERO,2017-06-30,6.9831066661451935
CHAPINERO,2017-07-31,0.1583533128378709
CHAPINERO,2017-08-31,0.1583533128378709
CHAPINERO,2017-09-30,0.15324856972059786
CHAPINERO,2017-10-31,0.1583533128378709
CHAPINERO,2017-11-30,0.15324856972059783
CHAPINERO,2017-12-31,0.1583533128378709
CHAPINERO,2018-01-31,0.1583533128378709
CHAPINERO,2018-02-28,0.1430390832313363
CHAPINERO,2018-03-31,0.158353312838061
CHAPINERO,2018-04-30,0.1532485697207818
CHAPINERO,2018-05-31,0.15835331283806092
CHAPINERO,2018-06-30,0.1532485697207818
CHAPINERO,2018-07-31,0.15835331283806092
CHAPINERO,2018-08-31,0.15835331283806095
CHAPINERO,2018-09-30,0.15324856972078182
CHAPINERO,2018-10-31,5.711334897900077
CHAPINERO,2018-11-30,12.927488199469645
CHAPINERO,2018-12-31,12.426129030682036
CHAPINERO,2019-01-31,11.751148309852264
CHAPINERO,2019-02-28,14.480666101318764
CHAPINERO,2019-03-31,13.549342921513492
CHAPINERO,2019-04-30,12.913304449221336
CHAPINERO,2019-05-31,9.492363320799418
CHAPINERO,2019-06-30,7.127177403250562
CHAPINERO,2019-07-31,8.453329984192028
CHAPINERO,2019-08-31,11.592016904523655
CHAPINERO,2019-09-30,12.232535728058993
CHAPINERO,2019-10-31,11.624621517727842
CHAPINERO,2019-11-30,13.266039504166306
CHAPINERO,2019-12-31,11.11944626120831
CHAPINERO,2020-01-31,14.291845517772813
CHAPINERO,2020-02-29,16.83679759963469
CHAPINERO,2020-03-31,21.914167239526332
CHAPINERO,2020-04-30,15.624828393278003
CHAPINERO,2020-05-31,9.41328807258033
CHAPINERO,2020-06-30,7.388668689741135
CHAPINERO,2020-07-31,8.14305205591599
CHAPINERO,2020-08-31,12.565976709820335
CHAPINERO,2020-09-30,10.203275765260326
CHAPINERO,2020-10-31,11.54406932178717
CHAPINERO,2020-11-30,11.516368357618394
CHAPINERO,2020-12-31,12.073025138914549
CHAPINERO,2021-01-31,13.10323640399773
CHAPINERO,2021-02-28,11.027945904685525
CHAPINERO,2021-03-31,11.049662079724726
CHAPINERO,2021-04-30,9.919811977941821
CHAPINERO,2021-05-31,8.714563750983894
CHAPINERO,2021-06-30,8.12229213443845
CHAPINERO,2021-07-31,7.288746754056031
CHAPINERO,2021-08-31,9.883170962799198
CHAPINERO,2021-09-30,12.525502775171214
CHAPINERO,2021-10-31,13.038320530151491
CHAPINERO,2021-11-30,14.15616669660031
CHAPINERO,2021-12-31,13.232213886850973
CHAPINERO,2022-01-31,13.58583444141843
CHAPINERO,2022-02-28,16.39809322097248
