NOMBRE_LOCALIDAD,AÑO,Ozono
BOSA,2013,
BOSA,2014,
BOSA,2015,
BOSA,2016,
BOSA,2017,
BOSA,2018,
BOSA,2019,
BOSA,2020,
BOSA,2021,4.753776701767271
BOSA,2022,6.246849394049257
CHAPINERO,2013,11.559666371478547
CHAPINERO,2014,11.84253340065616
CHAPINERO,2015,13.22252314433838
CHAPINERO,2016,13.194576841925581
CHAPINERO,2017,10.622889998802622
CHAPINERO,2018,7.36225057753936
CHAPINERO,2019,13.688447287293053
CHAPINERO,2020,17.176872495931693
CHAPINERO,2021,12.173352545362903
CHAPINERO,2022,10.8992445372541
CIUDAD BOLIVAR,2013,
CIUDAD BOLIVAR,2014,
CIUDAD BOLIVAR,2015,
CIUDAD BOLIVAR,2016,
CIUDAD BOLIVAR,2017,
CIUDAD BOLIVAR,2018,
CIUDAD BOLIVAR,2019,
CIUDAD BOLIVAR,2020,12.007162858422937
CIUDAD BOLIVAR,2021,11.311055169264165
CIUDAD BOLIVAR,2022,14.493721395063403
ENGATIVA,2013,13.513721913761685
ENGATIVA,2014,12.988498969197186
ENGATIVA,2015,16.74762339456392
ENGATIVA,2016,9.942526393210604
ENGATIVA,2017,9.413237204862272
ENGATIVA,2018,10.307291947980218
ENGATIVA,2019,13.231195609852364
ENGATIVA,2020,12.908385124847223
ENGATIVA,2021,12.395701246746457
ENGATIVA,2022,12.021361285374573
FONTIBON,2013,
FONTIBON,2014,
FONTIBON,2015,
FONTIBON,2016,
FONTIBON,2017,
FONTIBON,2018,10.319217970049918
FONTIBON,2019,13.788790494617722
FONTIBON,2020,16.611203079295926
FONTIBON,2021,15.757398799204047
FONTIBON,2022,20.201262540835945
KENNEDY,2013,8.674169964508339
KENNEDY,2014,11.198513790687343
KENNEDY,2015,9.645629832640235
KENNEDY,2016,8.989291441785753
KENNEDY,2017,6.05088912840846
KENNEDY,2018,8.423700472117227
KENNEDY,2019,11.457433169741421
KENNEDY,2020,14.211063943870721
KENNEDY,2021,12.47163738441049
KENNEDY,2022,10.808869392210788
PUENTE ARANDA,2013,8.363856051710387
PUENTE ARANDA,2014,7.436246466440519
PUENTE ARANDA,2015,9.053902986829696
PUENTE ARANDA,2016,7.7790875213714825
PUENTE ARANDA,2017,5.300229748037208
PUENTE ARANDA,2018,6.0324933522806745
PUENTE ARANDA,2019,8.271094416709337
PUENTE ARANDA,2020,9.489206786475714
PUENTE ARANDA,2021,10.341216262626315
PUENTE ARANDA,2022,10.225536676891531
SAN CRISTOBAL,2013,12.379328943006911
SAN CRISTOBAL,2014,10.137790778609832
SAN CRISTOBAL,2015,15.526876520097288
SAN CRISTOBAL,2016,9.76643701463116
SAN CRISTOBAL,2017,8.919662842251691
SAN CRISTOBAL,2018,16.436170893161485
SAN CRISTOBAL,2019,12.241342779271207
SAN CRISTOBAL,2020,13.316867178809789
SAN CRISTOBAL,2021,12.625162239449992
SAN CRISTOBAL,2022,10.730054584960103
SANTA FE,2013,11.95472065353188
SANTA FE,2014,10.068595638465581
SANTA FE,2015,7.992088809991425
SANTA FE,2016,12.359187111446941
SANTA FE,2017,10.317843270684408
SANTA FE,2018,11.88675811132732
SANTA FE,2019,13.75355096083126
SANTA FE,2020,14.216353246329682
SANTA FE,2021,13.760183447358243
SANTA FE,2022,11.067967843675328
SUBA,2013,11.16562731317668
SUBA,2014,10.381920865037035
SUBA,2015,11.042918232414252
SUBA,2016,12.396460561713903
SUBA,2017,10.056556485608452
SUBA,2018,10.49496517933249
SUBA,2019,10.055150578688025
SUBA,2020,10.618303367895647
SUBA,2021,9.929488324521815
SUBA,2022,9.106392468451313
TUNJUELITO,2013,10.110834838813238
TUNJUELITO,2014,9.610356324465236
TUNJUELITO,2015,10.01989332650623
TUNJUELITO,2016,8.774478260120867
TUNJUELITO,2017,7.93218855340075
TUNJUELITO,2018,11.77202972949243
TUNJUELITO,2019,10.536374389023043
TUNJUELITO,2020,12.18125853257043
TUNJUELITO,2021,13.161620674656511
TUNJUELITO,2022,13.259488452460957
USAQUEN,2013,14.375067262879538
USAQUEN,2014,15.534228343245546
USAQUEN,2015,23.9881760165984
USAQUEN,2016,19.537251157407407
USAQUEN,2017,12.38973080943847
USAQUEN,2018,15.25564382787165
USAQUEN,2019,16.41624125277351
USAQUEN,2020,18.46557281750282
USAQUEN,2021,16.691821825530166
USAQUEN,2022,17.008244769338997
USME,2013,
USME,2014,
USME,2015,
USME,2016,
USME,2017,
USME,2018,
USME,2019,
USME,2020,12.578691009557943
USME,2021,10.751710759861082
USME,2022,12.724070354776613
